ts=6171; X_raw=-304; Y_raw=-406; Z_raw=93; X_acc_der=-304.00; Y_acc_der=-406.00; Z_acc_der=93.00; X_gyr_der=-117.34; Y_gyr_der=-7.42; Z_gyr_der=32.98;
ts=6275; X_raw=354; Y_raw=-222; Z_raw=-190; X_acc_der=354.00; Y_acc_der=-222.00; Z_acc_der=-190.00; X_gyr_der=-117.34; Y_gyr_der=-8.18; Z_gyr_der=34.26;
ts=6379; X_raw=66; Y_raw=-320; Z_raw=52; X_acc_der=66.00; Y_acc_der=-320.00; Z_acc_der=52.00; X_gyr_der=-117.56; Y_gyr_der=-7.73; Z_gyr_der=33.68;
ts=6483; X_raw=60; Y_raw=-387; Z_raw=-150; X_acc_der=60.00; Y_acc_der=-387.00; Z_acc_der=-150.00; X_gyr_der=-117.28; Y_gyr_der=-7.94; Z_gyr_der=35.18;
ts=6587; X_raw=-140; Y_raw=-597; Z_raw=-121; X_acc_der=-140.00; Y_acc_der=-597.00; Z_acc_der=-121.00; X_gyr_der=-117.89; Y_gyr_der=-8.21; Z_gyr_der=34.29;
ts=6691; X_raw=13; Y_raw=-429; Z_raw=-162; X_acc_der=13.00; Y_acc_der=-429.00; Z_acc_der=-162.00; X_gyr_der=-117.01; Y_gyr_der=-7.51; Z_gyr_der=33.59;
ts=6795; X_raw=68; Y_raw=-294; Z_raw=-26; X_acc_der=68.00; Y_acc_der=-294.00; Z_acc_der=-26.00; X_gyr_der=-116.92; Y_gyr_der=-7.08; Z_gyr_der=33.16;
ts=6899; X_raw=292; Y_raw=-290; Z_raw=-18; X_acc_der=292.00; Y_acc_der=-290.00; Z_acc_der=-18.00; X_gyr_der=-117.53; Y_gyr_der=-7.73; Z_gyr_der=33.71;
ts=7003; X_raw=-109; Y_raw=-397; Z_raw=-126; X_acc_der=-109.00; Y_acc_der=-397.00; Z_acc_der=-126.00; X_gyr_der=-117.16; Y_gyr_der=-7.33; Z_gyr_der=34.20;
ts=7107; X_raw=22; Y_raw=-463; Z_raw=-103; X_acc_der=22.00; Y_acc_der=-463.00; Z_acc_der=-103.00; X_gyr_der=-117.83; Y_gyr_der=-6.72; Z_gyr_der=33.37;
ts=7211; X_raw=151; Y_raw=-314; Z_raw=-85; X_acc_der=151.00; Y_acc_der=-314.00; Z_acc_der=-85.00; X_gyr_der=-117.47; Y_gyr_der=-7.45; Z_gyr_der=33.65;
ts=7315; X_raw=73; Y_raw=-331; Z_raw=-106; X_acc_der=73.00; Y_acc_der=-331.00; Z_acc_der=-106.00; X_gyr_der=-117.31; Y_gyr_der=-7.33; Z_gyr_der=33.25;
ts=7419; X_raw=-25; Y_raw=-458; Z_raw=-38; X_acc_der=-25.00; Y_acc_der=-458.00; Z_acc_der=-38.00; X_gyr_der=-118.50; Y_gyr_der=-7.48; Z_gyr_der=34.78;
ts=7523; X_raw=106; Y_raw=-382; Z_raw=-142; X_acc_der=106.00; Y_acc_der=-382.00; Z_acc_der=-142.00; X_gyr_der=-118.38; Y_gyr_der=-7.05; Z_gyr_der=34.26;
ts=7627; X_raw=70; Y_raw=-400; Z_raw=-38; X_acc_der=70.00; Y_acc_der=-400.00; Z_acc_der=-38.00; X_gyr_der=-118.44; Y_gyr_der=-7.94; Z_gyr_der=34.38;
ts=7731; X_raw=-20; Y_raw=-416; Z_raw=-107; X_acc_der=-20.00; Y_acc_der=-416.00; Z_acc_der=-107.00; X_gyr_der=-116.40; Y_gyr_der=-7.57; Z_gyr_der=33.50;
